id,index,text,Annotation
1.12E+18,0,"De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak https://t.co/7PdLmz4zJz",
1.12E+18,1,#Meningitis: a group A polysaccharide tetanus toxoid conjugate #vaccine (also called MenAfriVac) was developed against meningococcus. https://t.co/lpmvqlEsbi,
1.12E+18,2,"Our PhD student, Madeleine Clark, is out in the field trialing a Rift Valley fever vaccine - follow her for updates! https://t.co/8hfMiIrsJc",
1.12E+18,3,"@BrianRAlexander Jonas Salk could’ve gotten insanely rich from the polio vaccine. But he didn’t do it. Imagine if some modern day type capitalists had gotten ahold of the polio vaccine? You can get vaccinated. Provided you have enough money to pay for it. If not, you can buy crutches.",
1.12E+18,4,RT @SwedeninMZ: Cholera is a water-borne disease that causes almost 100 000 deaths every year – the poor are hit the hardest. Sweden @Sida…,
1.12E+18,5,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",
1.12E+18,6,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,7,RT @SJVanders: My article on #pro-vaccine activism has been published in Social Science and Medicine @socscimed - read the full text here!:…,
1.12E+18,8,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,9,RT @Boxmenot: @chickenlady100 @MeddlinMegs @KrochetxKorner @HenningTveit @jerseyshorelisa @doritmi @Equality_7x2521 @mcfunny @ChrisJohnsonM…,
1.12E+18,10,15 charts explain the vaccine problem in the US and the world – Business Insider https://t.co/KZwT63f0Oy https://t.co/zedbGLRvYe,
1.12E+18,11,RT @BeckyJohnson222: @kidoctr @rugbyrhino16 @mmelgar09 @doritmi @Monstercoyliar @MAhealthforkids @seaglass34 @StopVaxxedLies @itsmepanda1 @…,
1.12E+18,12,Are you following a #Vaccine schedule? Here's what makes it so important and how to create one. #VaccineLaw https://t.co/RWX8Tq2CL4 https://t.co/wcuPNp4AI4,
1.12E+18,13,"@HLN_BE @Maggie_DeBlock, de orde van geneesheren en NVA'er Louis Ide trekken dus liever de kaart van repressie dan die van de wetenschap. Want Gaublomme is niet de enige die het nut van vaccinatie tegen mazelen in twijfel trekt. https://t.co/R69AvyOqDw",
1.12E+18,14,"RT @business: Bill De Blasio's vaccination order is met with shrugs and defiance in Brooklyn, the center of the city's measles outbreak htt…",
1.12E+18,15,@LFCElaine @DoctorChristian I hope your daughters are able to reproduce.  Many women are unable to after this vaccine.  It makes pregnancy much less easy on a large scale. https://t.co/xXNG5PoAhq,
1.12E+18,16,"@jonathanstea @CaulfieldTim @cometeclipse I'll correct your sentence for you:  ""Smart parents do their homework and choose safe vaccinations that have strict 3rd party oversight &amp; testing with transparent results to eliminate vaccine injury and provide support to anyone who may be negatively impacted by their products."" https://t.co/SqZRXyc3Px",
1.12E+18,17,RT @TheBeaverton: Pro-vaccine conspiracy theorists demand measles inoculation be added to CIA’s chemtrail program https://t.co/l31lcCbull h…,
1.12E+18,18,@pedvr and this effect is being seen elsewhere. it is so absolutely clear that the vaccine works and will save lives. i can't imagine what messed up headspace it requires not to want that.,
1.12E+18,19,"RT @CDCFlu: A new CDC lab test called ‘HINT’ can more quickly &amp; accurately characterize circulating #flu A (H3N2) viruses, which could impr…",
1.12E+18,20,Measles warning letters: Chicago-area hospitals will tell anti-vaccine parents their kids are at risk – Chicago Tribune https://t.co/e8cnAEi6Sl https://t.co/CvzoSB2rp9,
1.12E+18,21,"RT @JustinLehmiller: Scotland began a national vaccination program against #HPV in 2008 targeting 12-13 year old girls. Since then, they've…",
1.12E+18,22,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,
1.12E+18,23,"RT @CDCFlu: A new CDC lab test called ‘HINT’ can more quickly &amp; accurately characterize circulating #flu A (H3N2) viruses, which could impr…",
