HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.index,Input.text,Input.Annotation,Answer.sentiment.label,Approve,Reject,annotation=gold_HITS_annotation,ACCURACY
3D06DR52257XEDID1VJ1IX19Q62AMC,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:30 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:30 PDT 2019,,,3R2PKQ87NXWF7FY53LGFNFL8AQJIMW,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:18:59 PDT 2019,Fri Apr 12 17:19:04 PDT 2019,Mon Apr 15 17:19:04 PDT 2019,,,,5,100% (124/124),100% (124/124),100% (124/124),1.12E+18,430,Anthony - I recommend you read this before making up your mind! https://t.co/7pb07Mum0B https://t.co/YKoS9VAJ54,,Neither,,,,1
3DA79LNS59J17N9C1D53H3IVE463TA,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:36 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:36 PDT 2019,,,3A4NIXBJ77NHXG6BOODSFVD0RUDLMD,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:18:49 PDT 2019,Fri Apr 12 17:18:58 PDT 2019,Mon Apr 15 17:18:58 PDT 2019,,,,9,100% (124/124),100% (124/124),100% (124/124),1.12E+18,156,"RT @utmbnews: Middle East respiratory syndrome, or MERS, can cause fatal respiratory symptoms, systemic infection, multi-organ failure, and…",,Neither,,,,
3QREJ3J433LJK89EDAVBCYPGVD6LK0,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 17:09:50 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 17:09:50 PDT 2019,,,39LNWE0K4VKYKN3ECN71EP22NCMIUO,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:25:59 PDT 2019,Fri Apr 12 17:26:03 PDT 2019,Mon Apr 15 17:26:03 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,502,RT @SwedeninMZ: Cholera is a water-borne disease that causes almost 100 000 deaths every year – the poor are hit the hardest. Sweden @Sida…,neither,Neither,,,TRUE,
3SX4X51T80XLEG3PEBYEA1QEL6HAOR,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:46 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:46 PDT 2019,,,31LM9EDVOMGHK83BX4GFCVP8SVINJD,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:16:04 PDT 2019,Fri Apr 12 17:16:48 PDT 2019,Mon Apr 15 17:16:48 PDT 2019,,,,44,100% (124/124),100% (124/124),100% (124/124),1.12E+18,210,@realslimsheyla @gorskon @RyanMarino I appreciate that you referred to them as autism eugenecists because I have long felt that to be the greatest flaw of anti-vaccine advocacy that is left all too often unaddressed by those opposed to their pseudoscience bullshit.,,Pro-vaccine,,,,
39HYCOOPKO9VCKLPL5A38Y9FB9ZDMH,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:46 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:46 PDT 2019,,,3C44YUNSI2D4K7FW3N7WDMZQNQMDPL,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:19:55 PDT 2019,Fri Apr 12 17:19:59 PDT 2019,Mon Apr 15 17:19:59 PDT 2019,,,,4,100% (124/124),100% (124/124),100% (124/124),1.12E+18,211,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,Pro-vaccine,,,,
37SDSEDIN9QMZ039BBGP2E7B27781Y,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:46 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:46 PDT 2019,,,3PJUZCGDJ747BP3Y5Q0J54LA7V798G,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:06:48 PDT 2019,Fri Apr 12 17:07:10 PDT 2019,Mon Apr 15 17:07:10 PDT 2019,,,,22,100% (124/124),100% (124/124),100% (124/124),1.12E+18,194,@dpmlawfirm “The best scientific study inadvertently conducted on herd immunity and vaccine shedding in the last 223 years. All 700 sailors vaccinated and there’s a mumps outbreak.  Oooops!” https://t.co/iyKaAcud9K,,Anti-vaccine,,,,
3K3IX1W4S6F3ZGFQTBBTZ1V4VBDAP8,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:58:59 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:58:59 PDT 2019,,,3HRMW88U17E40KHPZVR9HBLCOW2M05,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:26:30 PDT 2019,Fri Apr 12 17:26:41 PDT 2019,Mon Apr 15 17:26:41 PDT 2019,,,,11,100% (124/124),100% (124/124),100% (124/124),1.12E+18,236,"RT @MarchofDimes: ""Protecting our children from vaccine-preventable diseases is a collective responsibility. But if we all come together in…",,Pro-vaccine,,,,
3VMHWJRYHV434GYPQI727FSYUQZFXE,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:02 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:02 PDT 2019,,,3IGI0VL6488VLJU8DH8KKR6URPSNOW,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:21:23 PDT 2019,Fri Apr 12 17:21:34 PDT 2019,Mon Apr 15 17:21:34 PDT 2019,,,,11,100% (124/124),100% (124/124),100% (124/124),1.12E+18,244,RT @DrJenGunter: I am so tired of hearing how influenza isn’t a “big deal” from anti vaccine forces. Personal stories can sway opinion. If…,,Pro-vaccine,,,,
3JMQI2OLFZT1U26PX6P3LDYFGZ9DNH,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:13 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:13 PDT 2019,,,3SB5N7Y3O4S48AL3OSTE461FSAQG0R,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:04:23 PDT 2019,Fri Apr 12 17:04:29 PDT 2019,Mon Apr 15 17:04:29 PDT 2019,,,,6,100% (124/124),100% (124/124),100% (124/124),1.12E+18,13,"@HLN_BE @Maggie_DeBlock, de orde van geneesheren en NVA'er Louis Ide trekken dus liever de kaart van repressie dan die van de wetenschap. Want Gaublomme is niet de enige die het nut van vaccinatie tegen mazelen in twijfel trekt. https://t.co/R69AvyOqDw",,Neither,,,,
3TC2K6WK9GQTOLL5UFG37XHGUDL82F,3WIABKGAUQPI5FMGOCKM90N4CXV6EO,anti-vaccine analysis,please indicate whether the displayed tweet is anti-vaccine or pro-vaccine or neither.,"sentiment, text, vaccine",$0.01,Fri Apr 12 16:59:13 PDT 2019,5,BatchId:233848;OriginalHitTemplateId:921587277;,3600,259200,Fri Apr 19 16:59:13 PDT 2019,,,3KKG4CDWKJM6SOGWTNA6OS5559B949,A5F89ZB75KLBW,Submitted,Fri Apr 12 17:04:05 PDT 2019,Fri Apr 12 17:04:11 PDT 2019,Mon Apr 15 17:04:11 PDT 2019,,,,6,100% (124/124),100% (124/124),100% (124/124),1.12E+18,594,@doctorsensation a social scientist researching vaccine safety. just what the world needed.,anti-vaccine,Anti-vaccine,,,TRUE,
