HITId,Description,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.id,Input.index,Input.text,Input.Annotation,Answer.sentiment.label,Approve,Reject,userid,FOR_GOLD_HITS_ACCURACY_CALCULATION,Total number of GOLD HITS,FREQUENCY OF GOLD_HITS,annotation for GOLD HITS is anti-vaccine,annotation for GOLD HITS is pro-vaccine,annotation for GOLD HITS is neither,Frequency of neither,THE PERCENTAGE OF GOLD HITS THAT ARE ANSWERED CORRECTLY,0.488448845,index\label,anti-vaccine,pro-vaccine,neither,P_i,tweet,Final_Annotation
38O9DZ0A62B6K72H10NFG15MKQE26D,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3J88R45B2HMIIDKDUNCI1BMLHE7XPE,A1GZZGA7ZFUPMB,Fri Apr 12 18:24:57 PDT 2019,Fri Apr 12 18:25:25 PDT 2019,28,1.12E+18,345,@HSELive My Daughter is 3 and I would hope the vaccine wouldn’t hurt her,,anti-vaccine,x,,,,304,0.168607876,,,,0.168053245,,,1,2,0,1,0.333333333,#Meningitis: a group A polysaccharide tetanus toxoid conjugate #vaccine (also called MenAfriVac) was developed against meningococcus. https://t.co/lpmvqlEsbi,anti-vaccine
38O9DZ0A62B6K72H10NFG15MKQE26D,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3UJ1CZ6IZID6TMGVGYXH4X0CBZ25SQ,A3W0C04EXOY12C,Fri Apr 12 18:13:02 PDT 2019,Fri Apr 12 18:13:17 PDT 2019,15,1.12E+18,345,@HSELive My Daughter is 3 and I would hope the vaccine wouldn’t hurt her,,anti-vaccine,x,,,,,,,,,,,,2,2,1,0,0.333333333,"Our PhD student, Madeleine Clark, is out in the field trialing a Rift Valley fever vaccine - follow her for updates! https://t.co/8hfMiIrsJc",anti-vaccine
3T2EL38U0M80V5OY4YM6CWG9X0QXQF,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",317HQ483I8GLPXJ5FMZPUCUBTM3NI9,A1GZZGA7ZFUPMB,Fri Apr 12 18:25:51 PDT 2019,Fri Apr 12 18:26:06 PDT 2019,15,1.12E+18,59,To Rival $AMZN UPS Enters Healthcare--with Doorstep Nurse Delivery . #innovation #UPS  #Amazon   https://t.co/KniicoHqxe https://t.co/AzjftsiAb2,,neither,x,,,,,,,,,,,,3,0,2,1,0.333333333,"@BrianRAlexander Jonas Salk could’ve gotten insanely rich from the polio vaccine. But he didn’t do it. Imagine if some modern day type capitalists had gotten ahold of the polio vaccine? You can get vaccinated. Provided you have enough money to pay for it. If not, you can buy crutches.",pro-vaccine
3T2EL38U0M80V5OY4YM6CWG9X0QXQF,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",388U7OUMF8PVX0UH43R0XSZP8PB0RF,A3W0C04EXOY12C,Fri Apr 12 18:22:30 PDT 2019,Fri Apr 12 18:22:52 PDT 2019,22,1.12E+18,59,To Rival $AMZN UPS Enters Healthcare--with Doorstep Nurse Delivery . #innovation #UPS  #Amazon   https://t.co/KniicoHqxe https://t.co/AzjftsiAb2,,pro-vaccine,x,,,,,,,,,,,,4,0,1,2,0.333333333,RT @SwedeninMZ: Cholera is a water-borne disease that causes almost 100 000 deaths every year – the poor are hit the hardest. Sweden @Sida…,neither
3I4E7AFQ2KNCS1B14Y10QSJH69ATJ1,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",39L1G8WVWRF3LNUXPWU4TZFJ73Z31F,A3W0C04EXOY12C,Fri Apr 12 18:17:24 PDT 2019,Fri Apr 12 18:17:30 PDT 2019,6,1.12E+18,327,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,anti-vaccine,,x,A3W0C04EXOY12C,,,,,,,,,,5,1,2,0,0.333333333,"RT @MichelleRempel: Get vaccinated, and vaccinate your children. Herd immunity saves lives. There is no reason for anyone to contract or sp…",pro-vaccine
3I4E7AFQ2KNCS1B14Y10QSJH69ATJ1,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3UXUOQ9OKFLHGU8KNRQNHHK2GZR7AC,A2KDT0S0L81JGF,Fri Apr 12 18:16:58 PDT 2019,Fri Apr 12 18:17:10 PDT 2019,12,1.12E+18,327,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,pro-vaccine,x,,,,,,,,,,,,6,0,3,0,1,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,pro-vaccine
3I4E7AFQ2KNCS1B14Y10QSJH69ATJ1,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3W8CV64QJ3N0404R8UYZCZYCOK5H99,ARIBVG7WV64QM,Fri Apr 12 18:16:29 PDT 2019,Fri Apr 12 18:16:47 PDT 2019,18,1.12E+18,327,RT @StephRosenstein: @neiltyson SCIENTISTS: We’ve created this incredible vaccine to help rid humanity of life threatening diseases. RESPON…,,pro-vaccine,x,,,,,,,,,,,,7,1,2,0,0.333333333,RT @SJVanders: My article on #pro-vaccine activism has been published in Social Science and Medicine @socscimed - read the full text here!:…,pro-vaccine
3D0LPO3EABNMAY1SUHG465SIK52YOE,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",37U1UTWH9WADFPZKZ74FQ757RNKR8Q,A3NOXFQNEWTIDF,Fri Apr 12 18:15:18 PDT 2019,Fri Apr 12 18:15:32 PDT 2019,14,1.12E+18,490,RT @marcialangton: @Anthony_Mundine You need to shut up. Babies are contracting measles because idiots like you believe these anti-vaccine…,,pro-vaccine,x,,,,,,,,,,,,8,0,2,1,0.333333333,RT @ForeignPolicy: A recent study found that thousands of Russian accounts used to spread disinformation had seized on anti-vaccine messagi…,pro-vaccine
3D0LPO3EABNMAY1SUHG465SIK52YOE,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3LO69W1SU41H56APDLJ7W8D69E8GL5,A3W0C04EXOY12C,Fri Apr 12 18:14:32 PDT 2019,Fri Apr 12 18:14:42 PDT 2019,10,1.12E+18,490,RT @marcialangton: @Anthony_Mundine You need to shut up. Babies are contracting measles because idiots like you believe these anti-vaccine…,,anti-vaccine,,x,A3W0C04EXOY12C,,,,,,,,,,9,1,1,1,0,RT @Boxmenot: @chickenlady100 @MeddlinMegs @KrochetxKorner @HenningTveit @jerseyshorelisa @doritmi @Equality_7x2521 @mcfunny @ChrisJohnsonM…,neither
3D0LPO3EABNMAY1SUHG465SIK52YOE,"Please choose what sentiment you think this tweet conveys. If the tweet expresses attitude that is positive towards vaccines or vaccines related incidents or vaccine manufacturers or laws, it should be counted as pro-vaccine. Anti anti-vaccine is pro-vax",3TVSS0C0E2O1L58U1ZPG429BXFKWTN,A2KDT0S0L81JGF,Fri Apr 12 18:15:50 PDT 2019,Fri Apr 12 18:16:01 PDT 2019,11,1.12E+18,490,RT @marcialangton: @Anthony_Mundine You need to shut up. Babies are contracting measles because idiots like you believe these anti-vaccine…,,pro-vaccine,x,,,,,,,,,,,,10,0,2,1,0.333333333,15 charts explain the vaccine problem in the US and the world – Business Insider https://t.co/KZwT63f0Oy https://t.co/zedbGLRvYe,pro-vaccine
